userId,age,sex,birthDay
1,38.0,1,1988-12-26 00:00:00
2,68.0,0,1979-12-09 00:00:00
3,41.0,1,1986-12-22 00:00:00
4,38.0,0,1980-01-23 00:00:00
5,48.0,0,1961-04-07 00:00:00
6,37.0,0,1972-11-06 00:00:00
7,38.0,1,1972-11-06 00:00:01
8,44.0,0,1991-03-29 00:00:00
9,33.0,0,1992-01-10 00:00:00
10,52.0,0,1975-03-25 00:00:00
11,55.0,0,1979-03-10 00:00:00
12,47.0,1,1967-05-24 00:00:00
13,30.0,0,1968-01-10 00:00:00
14,55.0,0,1975-04-03 00:00:00
15,40.0,0,1975-05-13 00:00:00
16,33.0,0,1963-09-26 00:00:00
17,41.0,1,1963-04-17 00:00:00
18,46.0,1,1988-02-20 00:00:00
19,55.0,0,1994-11-18 00:00:00
20,33.0,0,1973-05-31 00:00:00
21,62.0,0,1974-07-23 00:00:00
22,43.0,1,1988-12-02 00:00:00
23,24.0,1,1972-02-22 00:00:00
24,50.0,0,1979-04-05 00:00:00
25,36.0,1,1979-04-05 00:00:00
26,47.0,1,1992-05-27 00:00:00
27,37.0,0,1987-07-10 00:00:00
28,45.0,1,1993-09-09 00:00:00
29,54.0,0,1972-04-08 00:00:00
30,34.0,1,1990-09-05 00:00:00
31,33.0,0,1981-08-01 00:00:00
32,30.0,1,1959-11-13 00:00:00
33,30.0,1,1958-03-21 00:00:00
34,55.0,0,1979-02-20 00:00:00
35,38.0,0,1986-02-18 00:00:00
36,1.0,1,1986-09-17 00:00:00
37,34.0,0,1982-02-26 00:00:00
38,42.0,1,1984-06-14 00:00:00
39,47.0,0,1973-07-11 00:00:00
